arXiv:1805.07656, Title: Functional response regression with funBART: an analysis of  patient-specific stillbirth risk
arXiv:1805.07672, Title: An Extended Poisson Family of Life Distribution: A Unified Approach in  Competitive and Complementary Risks
arXiv:1805.07674, Title: BourGAN: Generative Networks with Metric Embeddings
arXiv:1805.07682, Title: The Generalized Lasso Problem and Uniqueness
arXiv:1805.07684, Title: Stacked Propensity Score Functions for Observational Cohorts with  Oversampled Exposed Subjects
arXiv:1805.07688, Title: Bayesian Modeling and Computation for Analyte Quantification in Complex  Mixtures Using Raman Spectroscopy
arXiv:1805.07702, Title: Predicting drug response of tumors from integrated genomic profiles by  deep neural networks
arXiv:1805.07714, Title: On a General Class of Discrete Bivariate Distributions
arXiv:1805.07725, Title: Human-guided data exploration using randomisation
arXiv:1805.07770, Title: Optimising data for modelling neuronal responses
arXiv:1805.07785, Title: Conditional Inference in Pre-trained Variational Autoencoders via  Cross-coding
arXiv:1805.07800, Title: Large Sample Theory for Merged Data from Multiple Sources
arXiv:1805.07810, Title: Online Structured Laplace Approximations For Overcoming Catastrophic  Forgetting
arXiv:1805.07826, Title: Real-Time Crash Risk Analysis of Urban Arterials Incorporating  Bluetooth, Weather, and Adaptive Signal Control Data
arXiv:1805.07827, Title: Utilizing Bluetooth and Adaptive Signal Control Data for Urban Arterials  Safety Analysis
arXiv:1805.07833, Title: Wasserstein regularization for sparse multi-task regression
arXiv:1805.07834, Title: Generalizing Tree Probability Estimation via Bayesian Networks
arXiv:1805.07844, Title: Projection-Free Algorithms in Statistical Estimation
arXiv:1805.07849, Title: Two-Stage Residual Inclusion under the Additive Hazards Model - An  Instrumental Variable Approach with Application to SEER-Medicare Linked Data
arXiv:1805.07852, Title: Kernel Pre-Training in Feature Space via m-Kernels
arXiv:1805.07869, Title: Learning Device Models with Recurrent Neural Networks
arXiv:1805.07874, Title: GSAE: an autoencoder with embedded gene-set nodes for genomics  functional characterization
arXiv:1805.07883, Title: How Many Samples are Needed to Estimate a Convolutional Neural Network?
arXiv:1805.07912, Title: Frank-Wolfe Stein Sampling
arXiv:1805.07938, Title: Transductive Boltzmann Machines
arXiv:1805.07960, Title: Stochastic Gradient Descent for Stochastic Doubly-Nonconvex Composite  Optimization
arXiv:1805.07970, Title: Implicit Probabilistic Integrators for ODEs
arXiv:1805.07984, Title: Adversarial Attacks on Neural Networks for Graph Data
arXiv:1805.07996, Title: Comparing Two Partitions of Non-Equal Sets of Units
arXiv:1805.08020, Title: Restricted eigenvalue property for corrupted Gaussian designs
arXiv:1805.08058, Title: Super learning in the SAS system
arXiv:1805.08090, Title: Graph Capsule Convolutional Neural Networks
arXiv:1805.08102, Title: Non-Oscillatory Pattern Learning for Non-Stationary Signals
arXiv:1805.08110, Title: On a general structure for hazard-based regression models: an  application to population-based cancer research
arXiv:1805.08114, Title: On the Convergence of Stochastic Gradient Descent with Adaptive  Stepsizes
arXiv:1805.08122, Title: A General Family of Robust Stochastic Operators for Reinforcement  Learning
arXiv:1805.08141, Title: Assessing randomness in case assignment: the case study of the Brazilian  Supreme Court
arXiv:1805.08148, Title: Persistence of natural disasters on child health: Evidence from the  Great Kanto Earthquake of 1923
arXiv:1805.08233, Title: Multilevel Models Allow Modular Specification of What and Where to  Regularize, Especially in Small Area Estimation
arXiv:1805.08244, Title: Stochastic modified equations for the asynchronous stochastic gradient  descent
arXiv:1805.08266, Title: On the Selection of Initialization and Activation Function for Deep  Neural Networks
arXiv:1805.08273, Title: Multiple Causal Inference with Latent Confounding
arXiv:1805.08283, Title: Weighted batch means estimators in Markov chain Monte Carlo
arXiv:1805.08300, Title: Lassoing Eigenvalues
arXiv:1805.08304, Title: Anchored Bayesian Gaussian Mixture Models
arXiv:1805.08306, Title: Deep Energy Estimator Networks
arXiv:1805.08314, Title: Intriguing behavior when testing the impact of quotation marks usage in  Google search results
arXiv:1805.08318, Title: Self-Attention Generative Adversarial Networks
arXiv:1805.08323, Title: A Spatially Correlated Auto-regressive Model for Count Data
arXiv:1805.08327, Title: Robust Gradient Descent via Moment Encoding with LDPC Codes
arXiv:1805.08331, Title: Large Scale computation of Means and Clusters for Persistence Diagrams  using Optimal Transport
arXiv:1805.08340, Title: Reducing Parameter Space for Neural Network Training
arXiv:1805.08342, Title: Nearest neighbor density functional estimation based on inverse Laplace  transform
arXiv:1805.08374, Title: Modeling the Safety Effect of Access and Signal Density on Suburban  Arterials: Using Macro Level Analysis Method
arXiv:1805.08423, Title: Fast and Accurate Binary Response Mixed Model Analysis via Expectation  Propagation
arXiv:1805.08463, Title: Variational Learning on Aggregate Outputs with Gaussian Processes
arXiv:1805.08512, Title: Non-parametric Structural Change Detection in Multivariate Systems
arXiv:1805.08518, Title: Functional Regression Models with Highly Irregular Designs
arXiv:1805.08522, Title: Deep learning generalizes because the parameter-function map is biased  towards simple functions
arXiv:1805.08527, Title: Safe Element Screening for Submodular Function Minimization
arXiv:1805.08561, Title: An integer-valued time series model for multivariate surveillance
arXiv:1805.08578, Title: "Why Should I Trust Interactive Learners?" Explaining Interactive  Queries of Classifiers to Users
arXiv:1805.08610, Title: Optimization, fast and slow: optimally switching between local and  Bayesian optimization
arXiv:1805.08647, Title: Multi-Statistic Approximate Bayesian Computation with Multi-Armed  Bandits
